name,address,latitude,longitude,phone
Chemart Pharmacy,,6.4487407,3.4307756,
Bay-Kins,,6.4299155,3.4525122,
Medplus,,6.4362779,3.4510757,
HealthPlus,,6.4359496,3.4514422,
HealthPlus,,6.6138582,3.3581409,
MedPlus,,6.4385334,3.4320201,
Slon,,6.5398804,3.3131285,
Semper,,6.5408178,3.2996301,
Health Plus,,6.5969362,3.3542673,
Oriwu Pharmacy & Supermarket,Obafemi Awolowo Road,6.497809,3.1955301,
Patient Medicine Shop,Migbewe I,6.4938677,3.389105,
Pharmacy,,6.4900979,3.3880884,
Megacare+ Pharmacy,,6.6152964,3.5018932,
Helix Pharmacy,,6.6136417,3.5017451,
Pharmacy,,6.6170688,3.5028834,
Pharmacy,,6.6267733,3.4838367,
Dr. Rita's,,6.4296085,3.4568374,
Pharmacy,,6.6270433,3.3541398,
Pharmacy,,6.6024016,3.6215675,
Mayaflora Pharmacy,,6.6319282,3.5356508,
Estandar Pharmacy,,6.4872901,3.5778676,
BPS,,6.4562074,3.4453671,
Pharmacy,,6.4674367,3.5850593,
HealthPlus Pharmacy,,6.5063686,3.374251,
Health,,6.4307453,3.4230571,
Pills & Tabs,,6.4362155,3.4894435,
,,6.4916508,3.3757771,
Hand of God medicine store,,6.601651,3.413855,
varg pharmacy,,6.6070536,3.4149498,
Seal Pharmacy,,6.6082047,3.4250128,
None,,6.6055233,3.4307567,
Botschre,,6.6050883,3.410075,
Kojos Pharmacy,,6.606035,3.4217333,
Bosycare.,,6.6052303,3.4101254,
Okerube pharmacy,,6.5280525,3.2357847,
Pharmacy,,6.5225208,3.2332478,
Favor chemist store,,6.5226099,3.2344196,
Phamarcy,,6.5236471,3.2342547,
Pharmaceutical shop,,6.5292299,3.2353436,
HealthPlus,"Alexander Avenue, Lagos",6.4458355,3.4501202,
HealthPlus,,6.4467799,3.472658,
Careforte,,6.430642,3.4234046,